Asset tag,Name,Cod sap,WBS_1_EN,WBS_1_ES,WBS_2_EN,WBS_2_ES,WBS_3_EN,WBS_3_ES,WBS_4_EN,WBS_4_ES,Responsable,Hour day,Criticidad,Criticidad Name
2111-BN-201,TOLVA DE MINERAL ROM DE SULFUROS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-201,CHUTE DE ALIMENTACIÓN AL ALIMENTADOR  DE PLACAS DE LA CHANCADORA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-202,CHUTE DE ALIMENTACIÓN A ALIMENTADOR DE ZARANDA VIBRATORIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-203,CHUTE DE FINOS DEL ALIMENTADOR  DE PLACAS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-204,CHUTE DE BAJO TAMAÑO DE ZARANDA VIBRATORIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-205,"CHUTE DE ALIMENTACIÓN A CHANCADORA
PRIMARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-206,CHUTE DE DESCARGA DE CHANCADORA PRIMARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CR-201,CHANCADORA QUIJADA METSO C160 750T/H,10016584,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,4,Critico
2111-FE-201,ALIM PLACAS METSO AF8-84MN-7455 75HP,10016582,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,3,Alto
2111-FE-202,ALIM VIBR SCHENCKPROCESS SLR2148D 750T/H,10016583,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,4,Critico
