Asset tag,key_system,System
2111-BN-201,2111-BN-201|01,
2111-BN-201,2111-BN-201|02,
2111-CH-201,2111-CH-201|01,
2111-CH-201,2111-CH-201|02,
2111-CH-202,2111-CH-202|01,
2111-CH-202,2111-CH-202|02,
2111-CH-203,2111-CH-203|01,
2111-CH-203,2111-CH-203|02,
2111-CH-204,2111-CH-204|01,
2111-CH-204,2111-CH-204|02,
2111-CH-205,2111-CH-205|01,
2111-CH-205,2111-CH-205|02,
2111-CH-206,2111-CH-206|01,
2111-CH-206,2111-CH-206|02,
2111-CR-201,2111-CR-201|01,
2111-CR-201,2111-CR-201|02,
2111-CR-201,2111-CR-201|03,
2111-CR-201,2111-CR-201|04,
2111-CR-201,2111-CR-201|05,
2111-CR-201,2111-CR-201|06,
2111-FE-201,2111-FE-201|01,
2111-FE-201,2111-FE-201|02,
2111-FE-201,2111-FE-201|03,
2111-FE-201,2111-FE-201|04,
2111-FE-202,2111-FE-202|01,
2111-FE-202,2111-FE-202|02,
2111-FE-202,2111-FE-202|03,
2111-GZ-201,2111-GZ-201|01,
2112-CH-207,2112-CH-207|01,
2112-CH-207,2112-CH-207|02,
2112-CH-227,2112-CH-227|01,
2112-CH-227,2112-CH-227|02,
2112-CV-201,2112-CV-201|01,
2112-CV-201,2112-CV-201|02,
2112-CV-201,2112-CV-201|03,
2112-CV-201,2112-CV-201|04,
2112-CV-201,2112-CV-201|05,
2112-MA-201,2112-MA-201|01,
2112-MA-201,2112-MA-201|02,
2112-MA-201,2112-MA-201|03,
2113-CH-208,2113-CH-208|01,
2113-CH-208,2113-CH-208|02,
2113-CV-202,2113-CV-202|01,
2113-CV-202,2113-CV-202|02,
2113-CV-202,2113-CV-202|03,
2113-CV-202,2113-CV-202|04,
2113-CV-202,2113-CV-202|05,
2114-CH-240,2114-CH-240|01,
2114-CH-240,2114-CH-240|02,
2114-CV-203,2114-CV-203|01,
2114-CV-203,2114-CV-203|02,
2114-CV-203,2114-CV-203|03,
2114-CV-203,2114-CV-203|04,
2114-CV-203,2114-CV-203|05,
2122-CH-237,2122-CH-237|01,
2122-CH-237,2122-CH-237|02,
2122-CH-238,2122-CH-238|01,
2122-CH-238,2122-CH-238|02,
2122-CH-239,2122-CH-239|01,
2122-CH-239,2122-CH-239|02,
2122-FA-210,2122-FA-210|01,
2122-FA-210,2122-FA-210|02,
2122-FA-210,2122-FA-210|03,
2122-FE-213,2122-FE-213|01,
2122-FE-213,2122-FE-213|02,
2122-FE-213,2122-FE-213|03,
2122-FE-213,2122-FE-213|04,
2123-CH-210,2123-CH-210|01,
2123-CH-210,2123-CH-210|02,
2123-CV-210,2123-CV-210|01,
2123-CV-210,2123-CV-210|02,
2123-CV-210,2123-CV-210|03,
2123-CV-210,2123-CV-210|04,
2123-CV-210,2123-CV-210|05,
2131-CH-211,2131-CH-211|01,
2131-CH-211,2131-CH-211|02,
2131-CH-216,2131-CH-216|01,
2131-CH-216,2131-CH-216|02,
2131-SC-202,2131-SC-202|01,
2131-SC-202,2131-SC-202|02,
2131-SC-202,2131-SC-202|03,
2132-CH-217,2132-CH-217|01,
2132-CH-217,2132-CH-217|02,
2132-CH-243,2132-CH-243|01,
2132-CH-243,2132-CH-243|02,
2132-CV-204,2132-CV-204|01,
