key_system,key_component,Component
2111-FE-201|01,2111-FE-201|01-01,Motor eléctrico
2111-FE-201|01,2111-FE-201|01-02,Variador de velocidad
2111-FE-201|01,2111-FE-201|01-03,Panel de control y caja de conexiones
2111-FE-201|01,2111-FE-201|01-04,Reductor combinado
2111-FE-201|01,2111-FE-201|01-05,Eje motriz
2111-FE-201|01,2111-FE-201|01-06,Ruedas de cola tensoras
2111-FE-201|02,2111-FE-201|02-01,Placas alimentadoras
2111-FE-201|02,2111-FE-201|02-02,Cadenas
2111-FE-201|03,2111-FE-201|03-01,Rodillos de carga
2111-FE-201|03,2111-FE-201|03-02,Rodillos de retorno
2111-FE-201|04,2111-FE-201|04-01,Instrumentos
2122-FE-213|01,2122-FE-213|01-01,Motor eléctrico
2122-FE-213|01,2122-FE-213|01-02,Variador de velocidad
2122-FE-213|01,2122-FE-213|01-03,Panel de control y caja de conexiones
2122-FE-213|01,2122-FE-213|01-04,Reductor combinado
2122-FE-213|01,2122-FE-213|01-05,Eje motriz
2122-FE-213|01,2122-FE-213|01-06,Ruedas de cola tensoras
2122-FE-213|02,2122-FE-213|02-01,Placas alimentadoras
2122-FE-213|02,2122-FE-213|02-02,Cadenas
2122-FE-213|03,2122-FE-213|03-01,Rodillos de carga
2122-FE-213|03,2122-FE-213|03-02,Rodillos de retorno
2122-FE-213|04,2122-FE-213|04-01,Instrumentos
2242-PU-275|01,2242-PU-275|01-01,Motor eléctrico
2242-PU-275|01,2242-PU-275|01-02,Variador de velocidad
2242-PU-275|01,2242-PU-275|01-03,Poleas y fajas
2242-PU-275|02,2242-PU-275|02-01,Caja de rodamientos
2242-PU-275|02,2242-PU-275|02-02,Eje
2242-PU-275|02,2242-PU-275|02-03,Carcasa
2242-PU-275|02,2242-PU-275|02-04,Impulsor
2242-PU-275|02,2242-PU-275|02-05,Sello prensaestopa
2242-PU-275|02,2242-PU-275|02-06,Elementos de unión
2242-PU-275|03,2242-PU-275|03-01,Instrumentos
2243-PU-213|01,2243-PU-213|01-01,Motor eléctrico
2243-PU-213|01,2243-PU-213|01-02,Variador de velocidad
2243-PU-213|01,2243-PU-213|01-03,Poleas y fajas
2243-PU-213|02,2243-PU-213|02-01,Caja de rodamientos
2243-PU-213|02,2243-PU-213|02-02,Eje
2243-PU-213|02,2243-PU-213|02-03,Carcasa
2243-PU-213|02,2243-PU-213|02-04,Impulsor
2243-PU-213|02,2243-PU-213|02-05,Sello prensaestopa
2243-PU-213|02,2243-PU-213|02-06,Elementos de unión
2243-PU-213|03,2243-PU-213|03-01,Instrumentos
2243-PU-213|03,2243-PU-213|03-02,Transmisores
3261-CL-301|01,3261-CL-301|01-01,Motor eléctrico
3261-CL-301|01,3261-CL-301|01-02,Motor hidráulico
3261-CL-301|01,3261-CL-301|01-03,Reductor planetario
3261-CL-301|01,3261-CL-301|01-04,Anillo de giro
3261-CL-301|01,3261-CL-301|01-05,Mecanismo de levante
3261-CL-301|01,3261-CL-301|01-06,Unidad hidráulica
3261-CL-301|02,3261-CL-301|02-01,Feedwell
3261-CL-301|02,3261-CL-301|02-02,Rastras
3261-CL-301|02,3261-CL-301|02-03,Rastra
3261-CL-301|02,3261-CL-301|02-04,Tanque
3261-CL-301|02,3261-CL-301|02-05,Puente
3261-CL-301|03,3261-CL-301|03-01,Instrumentos del clarificador
3261-CL-301|03,3261-CL-301|03-02,Transmisores del clarificador
3261-CL-301|03,3261-CL-301|03-03,Panel de control del clarificador
