key_component,key_dutie,Primary task
2111-FE-201|01-01,2111-FE-201|01-01-01,Inspección general de motor
2111-FE-201|01-01,2111-FE-201|01-01-02,Mtto menor de motor de faja
2111-FE-201|01-01,2111-FE-201|01-01-03,Mtto caja de conexiones de motor
2111-FE-201|01-01,2111-FE-201|01-01-04,Mtto caja de conexiones RTD motor
2111-FE-201|01-01,2111-FE-201|01-01-05,Mtto de ventilador de motor
2111-FE-201|01-01,2111-FE-201|01-01-06,Mtto de cable a tierra de motor
2111-FE-201|01-01,2111-FE-201|01-01-07,Cambio de rodamientos de motor
2111-FE-201|01-01,2111-FE-201|01-01-08,Medición aislamiento de motor
2111-FE-201|01-01,2111-FE-201|01-01-09,Lubricación de motor de faja
2111-FE-201|01-01,2111-FE-201|01-01-10,Monit temperatura rodamientos motor
2111-FE-201|01-01,2111-FE-201|01-01-11,Monit temperatura estator motor
2111-FE-201|01-01,2111-FE-201|01-01-12,Monitoreo de vibración de motor
2111-FE-201|01-01,2111-FE-201|01-01-13,Monitoreo de termografía de motor
2111-FE-201|01-02,2111-FE-201|01-02-01,Mtto preventivo variador velocidad
2111-FE-201|01-03,2111-FE-201|01-03-01,Inspec panel ctrl caja conex de faja
2111-FE-201|01-03,2111-FE-201|01-03-02,Mtto panel ctrl y caja conex faja
2111-FE-201|01-04,2111-FE-201|01-04-01,Inspec reductor combinado de faja
2111-FE-201|01-04,2111-FE-201|01-04-02,Inspec nivel aceite d reductor faja
2111-FE-201|01-04,2111-FE-201|01-04-03,Monit vibracional reductor faja
2111-FE-201|01-04,2111-FE-201|01-04-04,Camb aceite reductor combinado faj
2111-FE-201|01-04,2111-FE-201|01-04-05,Mtto general d reductor combinado faja
2111-FE-201|01-05,2111-FE-201|01-05-01,Inspec apoyos eje motriz faja
2111-FE-201|01-05,2111-FE-201|01-05-02,Inspec del eje motriz de faja
2111-FE-201|01-05,2111-FE-201|01-05-03,Lubricación apoyos eje motriz faja
2111-FE-201|01-05,2111-FE-201|01-05-04,Camb grasa d apys eje motriz faja
2111-FE-201|01-05,2111-FE-201|01-05-05,Camb apys fijo libre d eje motriz d faja
2111-FE-201|01-05,2111-FE-201|01-05-06,Camb d sprockets del eje motriz d faja
2111-FE-201|01-05,2111-FE-201|01-05-07,Monit ultrasonido eje motriz faja
2111-FE-201|01-05,2111-FE-201|01-05-08,Cambio del eje motriz de faja
2111-FE-201|01-06,2111-FE-201|01-06-01,Cambio d ruedas d cola tensoras d faja
2111-FE-201|02-01,2111-FE-201|02-01-01,Inspec gnrl d placas alimtdrs d faj
2111-FE-201|02-01,2111-FE-201|02-01-02,Inspec d placas almntadoras d faja
2111-FE-201|02-01,2111-FE-201|02-01-03,Cambio de placas alimentadoras de faja
2111-FE-201|02-02,2111-FE-201|02-02-01,Inspección general d cadenas d faja
2111-FE-201|02-02,2111-FE-201|02-02-02,Inspección generl d cadenas d faja
2111-FE-201|02-02,2111-FE-201|02-02-03,Cambio general de cadenas de faja
2111-FE-201|03-01,2111-FE-201|03-01-01,Desgaste d rodillos d carga de faja
2111-FE-201|03-01,2111-FE-201|03-01-02,Inspec d rodillos de carga de faja
2111-FE-201|03-01,2111-FE-201|03-01-03,Cambio de rodillos de carga de faja
2111-FE-201|03-02,2111-FE-201|03-02-01,Inspec d rodillos d retorno d faja
2111-FE-201|03-02,2111-FE-201|03-02-02,Cambio de rodillos de retorno de faja
2111-FE-201|04-01,2111-FE-201|04-01-01,Inspección de instrumentos de faja
2111-FE-201|04-01,2111-FE-201|04-01-02,Mtto de instrumentos de faja
