key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo
2111-FE-201|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, tapa y ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos, síntomas de sobrecalentamiento en carcaza y caja de conexiones. 
De ser necesario realizar la actividad de limpieza del motor con caudal de aire. 
Registrar los parámetros eléctricos del motor en el formato establecido.",INSP,TEC-ELE,MAR,1,2,1,M
2111-FE-201|01-01-02,"Limpiar parte externa del motor (carcaza, tapa de ventiladores, puntos de lubricación) con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico, retirar sulfato y oxido de pernos de anclaje y conexiones a tierra.",PREV,TEC-ELE,DET,2,2,2000,H
2111-FE-201|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, abrir la caja de conexiones, verificar que los terminales se encuentren en buen estado, inspeccionar síntomas de sobrecalentamiento en bornes de conexión y aislamiento de cables de alimentación, ajustar conexiones, verificar la hermeticidad de la caja de conexiones, cerrar la caja de conexiones. Aplicar anticorrosivo de zinc a pernos de tapa. Comprobar la continuidad de cada elemento del calefactor.",PREV,TEC-ELE,DET,1,2,4000,H
2111-FE-201|01-01-04,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, abrir la caja de conexiones, ajustar conexiones, verificar que los terminales se encuentren en buen estado, medir la resistencia del RTD, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.",PREV,TEC-ELE,DET,0.5,2,4000,H
2111-FE-201|01-01-05,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, cambiar el ventilador si se encuentra roto, colocar la tapa del ventilador.",PREV,TEC-ELE,DET,1,2,4000,H
2111-FE-201|01-01-06,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable.",PREV,TEC-ELE,DET,0.5,2,4000,H
2111-FE-201|01-01-07,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero 6314-C3, Rodamiento posterior 6314-C3 (El cambio se realizará según monitoreo de condición).",COND,TEC-ELE,DET,8,2,,
2111-FE-201|01-01-08,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. 
Registrar datos de la actividad en formato establecido.",PREV,TEC-ELE,DET,1.5,2,4000,H
2111-FE-201|01-01-09,"Retirar el tapón de la grasera del rodamiento a engrasar, limpiar la grasera con un trapo, retirar tapón de drenaje de grasa, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente los tapones y ajustarlo debidamente, verificar que no existen fugas (lagrimeo). Rodamiento delantero 6314-C3 y posterior 6314-C3 cantidad de grasa 27g c/u intervalo de lubricación 12000 h. Emplear GRASA MOBIL POLYREX EM.",LUBR,TEC-ELE,MAR,0.5,2,12000,H
2111-FE-201|01-01-10,"Utilizando el pirómetro tomar lectura y registrar la temperatura en los rodamientos verificando que no exceda, según al manual del fabricante.",INSP,TEC-ELE,MAR,0.5,2,1,M
