key_dutie,Resource Type,Cod. Material,Cantidad
2111-FE-201|01-04-04,Materials,2530846,14.53
2111-FE-201|01-05-04,Materials,2530835,4
2111-FE-201|01-01-09,Materials,2530835,0.06
2111-FE-201|01-05-05,Materials,3041898,1
2111-FE-201|01-05-05,Materials,3041899,1
2111-FE-201|01-05-08,Materials,3041894,1
2111-FE-201|01-06-01,Materials,3041911,2
2111-FE-201|02-01-03,Materials,2524336,84
2111-FE-201|02-02-03,Materials,3041906,8
2111-FE-201|03-01-03,Materials,3041909,38
2111-FE-201|03-02-02,Materials,3041910,10
2111-FE-201|01-04-05,Materials,3041916,1
2111-FE-201|01-05-06,Materials,3041896,2
2122-FE-213|01-04-04,Materials,2530846,14.53
2122-FE-213|01-05-04,Materials,2530835,4
2122-FE-213|01-01-09,Materials,2530835,0.06
2122-FE-213|01-05-05,Materials,3041937,1
2122-FE-213|01-05-05,Materials,3041938,1
2122-FE-213|01-05-08,Materials,3041933,1
2122-FE-213|02-01-03,Materials,2524337,149
2122-FE-213|02-02-03,Materials,3041942,6
2122-FE-213|02-02-03,Materials,3041943,2
2122-FE-213|03-01-03,Materials,3041946,74
2122-FE-213|03-02-02,Materials,3041910,10
2122-FE-213|01-04-05,Materials,3041950,1
2122-FE-213|01-05-06,Materials,3041935,2
2242-PU-275|02-01-04,Materials,2530833,0.48
2242-PU-275|02-05-02,Materials,3040101,4
2242-PU-275|02-04-01,Materials,3040110,1
2242-PU-275|02-02-01,Materials,3040107,1
2242-PU-275|02-02-01,Materials,3040108,1
2242-PU-275|02-03-03,Materials,2523928,1
2242-PU-275|02-03-03,Materials,2523929,1
2242-PU-275|02-03-03,Materials,2523925,1
2242-PU-275|01-01-09,Materials,2530835,0.021
2242-PU-275|02-01-02,Materials,3040109,2
2243-PU-213|02-01-04,Materials,2530833,0.3
2243-PU-213|02-05-02,Materials,3040118,4
2243-PU-213|02-02-01,Materials,3040104,1
2243-PU-213|02-03-03,Materials,2523926,1
2243-PU-213|02-03-03,Materials,2523927,1
2243-PU-213|02-03-03,Materials,2523930,1
2243-PU-213|01-01-09,Materials,2530835,0.013
2243-PU-213|02-01-02,Materials,3040119,2
2243-PU-213|02-01-02,Materials,3040120,1
3261-CL-301|01-06-05,Materials,2530835,0.036
3261-CL-301|01-06-06,Materials,3042022,1
