PE,1_WBS,2_WBS,3_WBS,4_WBS,WBS,Level,All,Lvl 1,Lvl 1 ENG,Lvl 1 ESP,Lvl 2,Lvl 2 ENG,Lvl 2 ESP,Lvl 3,Lvl 3 ENG,Lvl 3 ESP,Lvl 4,Lvl 1 ENG,Lvl 1 ESP
2,2,0,0,0,2000,1,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,,,,,,,,
21,2,1,0,0,2100,2,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,,,,,,
211,2,1,1,0,2110,3,PRIMARY CRUSHING / CHANCADO PRIMARIO,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,,,
2111,2,1,1,1,2111,4,Primary Crushing Station / Estación de Chancado Primario,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station / Estación de Chancado Primario,Primary Crushing Station,Estación de Chancado Primario
2112,2,1,1,2,2112,4,Discharge Conveyor / Faja Transportadora de Descarga,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Discharge Conveyor / Faja Transportadora de Descarga,Discharge Conveyor,Faja Transportadora de Descarga
2113,2,1,1,3,2113,4,Primary Crusher Overland Conveyor 1 / Faja Transportadora Terrestre de Chancadora Primaria 1,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 1 / Faja Transportadora Terrestre de Chancadora Primaria 1,Primary Crusher Overland Conveyor 1,Faja Transportadora Terrestre de Chancadora Primaria 1
2114,2,1,1,4,2114,4,Primary Crusher Overland Conveyor 2 / Faja Transportadora Terrestre de Chancadora Primaria 2,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 2 / Faja Transportadora Terrestre de Chancadora Primaria 2,Primary Crusher Overland Conveyor 2,Faja Transportadora Terrestre de Chancadora Primaria 2
2119,2,1,1,9,2119,4,Primary Crushing General / Chancado Primario - General,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing General / Chancado Primario - General,Primary Crushing General,Chancado Primario - General
212,2,1,2,0,2120,3,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,,,
2121,2,1,2,1,2121,4,Stockpile / Pila de almacenamiento,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Stockpile / Pila de almacenamiento,Stockpile,Pila de almacenamiento
2122,2,1,2,2,2122,4,Reclaim Tunnel & Feeders / Túnel de Recuperación y Alimentadores,SULFIDE CONCENTRATOR / CONCENTRADORA DE SULFURO,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING / CHANCADO Y MANEJO DE MINERAL CHANCADO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders / Túnel de Recuperación y Alimentadores,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores
