,key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo,Date task done,Man hour,Strategy
0,2111-FE-201|01-04-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,330.0,H,2021-04-01,1.0,330H
1,2111-FE-201|01-04-02,Verificar el nivel de aceite correcto De ser necesario rellenar con aceite ISO VG 220 - Mobilgear 600 XP 220 hasta donde indique la mirilla de aceite.,INSP,TEC-MEC,MAR,0.25,2,660.0,H,2021-04-01,0.5,660H
2,2111-FE-201|01-04-04,"Debe de drenar todo el aceite del reductor, realizar la limpieza interna con disolvente industrial, rellenar el reductor con aceite ISO VG 220 - Mobilgear 600 XP 220, 55 litros.",PREV,TEC-MEC,DET,3.0,2,4000.0,H,2021-04-01,6.0,4000H
3,2111-FE-201|01-05-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,660.0,H,2021-04-01,1.0,660H
4,2111-FE-201|01-05-02,"Desmontar el eje del conjunto, montarlo sobre soportes que aseguren una posición horizontal ( montado entre centros en un torno), con la ayuda de instrumentos de medición verificar desgastes en los apoyos de rodamientos, apoyos de sellos. Verificar flexión en el eje.",INSP,TEC-MEC,DET,1.0,2,4000.0,H,2021-04-01,2.0,4000H
5,2111-FE-201|01-05-03,Realizar un proceso de relubricación de los apoyos del eje motriz periódico con grasa del tipo NLGI 2.,LUBR,TEC-MEC,MAR,0.25,2,660.0,H,2021-04-01,0.5,660H
6,2111-FE-201|01-05-04,"Realizar el proceso de cambio de grasa de los apoyos del eje motriz, desmontar las tapas de los apoyos desmontar el apoyo de la base del alimentadores , drenar toda la grasa y limpiar con solvente industrial, rellenar con grasa del tipo NLGI 2 en la cantidad requerida, montar el componente, y verificar la estanqueidad.",PREV,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
7,2111-FE-201|02-01-01,"Verificar solturas o roturas de pernos, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,2.0,2,660.0,H,2021-04-01,4.0,660H
8,2111-FE-201|02-01-02,"Verificar el desgaste de las placas (verificar el espesor), verificar el ajuste de los elementos de unión ( la primera inspección debe ser a las 100 horas de trabajo).",INSP,TEC-MEC,DET,2.0,2,2000.0,H,2021-04-01,4.0,2000H
9,2111-FE-201|02-02-01,"Verificar solturas o roturas de pernos tensores de cadena, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,0.5,2,660.0,H,2021-04-01,1.0,660H
10,2111-FE-201|02-02-02,"Verificar el desgaste de las cadenas , comparar los valores de desgaste con las tablas suministradas por el fabricante para determinar si es necesario el cambio de las mismas.",INSP,TEC-MEC,DET,2.0,2,2000.0,H,2021-04-01,4.0,2000H
11,2111-FE-201|03-01-02,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
12,2111-FE-201|03-02-01,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
13,2122-FE-213|01-04-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,330.0,H,2021-04-01,1.0,330H
14,2122-FE-213|01-04-02,Verificar el nivel de aceite correcto De ser necesario rellenar con aceite ISO VG 220 - Mobilgear 600 XP 220 hasta donde indique la mirilla de aceite.,INSP,TEC-MEC,MAR,0.25,2,660.0,H,2021-04-01,0.5,660H
15,2122-FE-213|01-04-04,"Debe de drenar todo el aceite del reductor, realizar la limpieza interna con disolvente industrial, rellenar el reductor con aceite ISO VG 220 - Mobilgear 600 XP 220, 55 litros.",PREV,TEC-MEC,DET,3.0,2,4000.0,H,2021-04-01,6.0,4000H
16,2122-FE-213|01-05-01,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 70 °C y 90 °C.. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.5,2,660.0,H,2021-04-01,1.0,660H
17,2122-FE-213|01-05-02,"Desmontar el eje del conjunto, montarlo sobre soportes que aseguren una posición horizontal ( montado entre centros en un torno), con la ayuda de instrumentos de medición verificar desgastes en los apoyos de rodamientos, apoyos de sellos. Verificar flexión en el eje.",INSP,TEC-MEC,DET,1.0,2,4000.0,H,2021-04-01,2.0,4000H
18,2122-FE-213|01-05-03,Realizar un proceso de relubricación de los apoyos del eje motriz periódico con grasa del tipo NLGI 2.,LUBR,TEC-MEC,MAR,0.25,2,660.0,H,2021-04-01,0.5,660H
19,2122-FE-213|01-05-04,"Realizar el proceso de cambio de grasa de los apoyos del eje motriz, desmontar las tapas de los apoyos desmontar el apoyo de la base del alimentadores , drenar toda la grasa y limpiar con solvente industrial, rellenar con grasa del tipo NLGI 2 en la cantidad requerida, montar el componente, y verificar la estanqueidad.",PREV,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
20,2122-FE-213|02-01-01,"Verificar solturas o roturas de pernos, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,2.0,2,660.0,H,2021-04-01,4.0,660H
21,2122-FE-213|02-01-02,"Verificar el desgaste de las placas (verificar el espesor), verificar el ajuste de los elementos de unión ( la primera inspección debe ser a las 100 horas de trabajo).",INSP,TEC-MEC,DET,2.0,2,2000.0,H,2021-04-01,4.0,2000H
22,2122-FE-213|02-02-01,"Verificar solturas o roturas de pernos tensores de cadena, retorquear o cambiar de acuerdo a condición. Detectar ruídos extraños.",INSP,TEC-MEC,DET,0.5,2,660.0,H,2021-04-01,1.0,660H
23,2122-FE-213|02-02-02,"Verificar el desgaste de las cadenas , comparar los valores de desgaste con las tablas suministradas por el fabricante para determinar si es necesario el cambio de las mismas.",INSP,TEC-MEC,DET,2.0,2,2000.0,H,2021-04-01,4.0,2000H
24,2122-FE-213|03-01-02,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
25,2122-FE-213|03-02-01,Verificar el desgaste de los rodillos comparando el desgaste con las tablas de desgaste que provee el fabricante para determinar su cambio. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
26,2242-PU-275|01-03-01,"Destensar pernos de base del motor, retirar fajas, colocar fajas nuevas, regular tensión de fajas a través de los pernos de la base del motor.",PREV,TEC-MEC,DET,1.0,2,4000.0,H,2021-04-01,2.0,4000H
