,key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo,Date task done,Man hour,Strategy
0,2111-FE-201|01-01-12,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
1,2111-FE-201|01-01-13,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
2,2111-FE-201|01-04-03,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
3,2111-FE-201|01-05-07,"Verificar el desgaste en los apoyos de sellos y rodamientos, posibles daños y fracturas en el eje motriz . Cambiar el eje de ser necesario.",PRED,TEC-PRD,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
4,2111-FE-201|03-01-01,Realizar la medición de desgaste de rodillos.,PRED,TEC-PRD,DET,2.0,2,750.0,H,2021-04-01,4.0,750H
5,2122-FE-213|01-01-12,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
6,2122-FE-213|01-01-13,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
7,2122-FE-213|01-04-03,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.5,2,750.0,H,2021-04-01,1.0,750H
8,2122-FE-213|01-05-07,"Verificar el desgaste en los apoyos de sellos y rodamientos, posibles daños y fracturas en el eje motriz . Cambiar el eje de ser necesario.",PRED,TEC-PRD,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
9,2122-FE-213|03-01-01,Realizar la medición de desgaste de rodillos.,PRED,TEC-PRD,DET,2.0,2,750.0,H,2021-04-01,4.0,750H
