,Asset tag,Cod sap,WBS_1_EN,WBS_2_EN,WBS_3_EN,Responsable,Hour day,key_system,System,key_component,Component,key_dutie,Primary task,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo,Date task done,Man hour,Strategy
0,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-04,Acople de alta,2221-PU-201|01-04-01,Inspección acople de alta de bomba,Verificar elementos de unión y protección del acople.,INSP,TEC-MEC,MAR,0.25,1,165.0,H,2021-04-01,0.25,165H
1,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-05,Acople de baja,2221-PU-201|01-05-01,Inspección acople de baja de bomba,Verificar elementos de unión y protección del acople.,INSP,TEC-MEC,MAR,0.25,1,165.0,H,2021-04-01,0.25,165H
2,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-01,Inspección de reductor de bomba,Verificar la temperatura de los rodamientos con el pirómetro con rangos entre 50°C y 60°C. Verificar ruido y/o vibración en condiciones normales. Verificar fuga de aceite por empaques y/o sello radiales. Verificar solturas y/o desajuste en los elementos de unión.,INSP,TEC-MEC,MAR,0.25,1,165.0,H,2021-04-01,0.25,165H
3,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-02,Inspec nivel de aceite de reductor,"Verificar el nivel de aceite correcto, de ser necesario rellenar con aceite MOBIL SHC GEAR 220 hasta donde indique la mirilla de aceite.",INSP,TEC-MEC,MAR,0.25,1,165.0,H,2021-04-01,0.25,165H
4,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-03,Cambio aceite de reductor de bomba,"El primer cambio se debe realizar a las 50 horas de operación con un aceite MOBIL SHC GEAR 220. Retirar el tapón de drenaje de la caja del reductor. Drenar el aceite y luego limpiar internamente con materiales esterilizados. Colocar el tapón y agregar la cantidad de 135 Lt. de aceite al nivel de la mirilla. Considerar un tiempo de asentamiento del reductor de 50h posterior a cada cambio, volver a reemplazar todo este aceite.",PREV,TEC-MEC,DET,4.0,2,4000.0,H,2021-04-01,8.0,4000H
5,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-07,Sistema de enfriamiento,2221-PU-201|01-07-01,Insp general sistema enfriamiento,"Verificar el estado de las conexiones, los filtros, la bomba hidráulica. Verificar la temperatura y los ruidos o vibraciones excesivas en el sistema.",INSP,TEC-MEC,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
6,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-07,Sistema de enfriamiento,2221-PU-201|01-07-02,Cambio bomba aceite sist enfriam,"Desmontar la bomba del sistema de refrigeración, reemplazar el componente, realizar los ajustes en el sistema.",PREV,TEC-MEC,DET,3.0,2,8000.0,H,2021-04-01,6.0,8000H
7,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-07,Sistema de enfriamiento,2221-PU-201|01-07-03,Cambio filtros aceite sist enfriam,Desmontar los filtros del sistema. Reemplazar los componentes y hacer los ajustes en el sistema.,PREV,TEC-MEC,DET,2.0,1,4000.0,H,2021-04-01,2.0,4000H
8,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|02,,2221-PU-201|02-01,Carcasa,2221-PU-201|02-01-01,Inspección de carcasa de bomba,Verificar el ajuste entre la placa lateral y el impulsor. Verificar fuga por los pernos de unión y/o juntas de la carcasa. Verificar condición de pernos de unión. Verificar desgaste y/o corrosión de la carcasa.,INSP,TEC-MEC,DET,3.0,2,660.0,H,2021-04-01,6.0,660H
9,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|02,,2221-PU-201|02-01,Carcasa,2221-PU-201|02-01-02,Cambio spare parte húmeda de bomba,"Realizar el cambio del spare de la parte húmeda, retirar previamente los spool de succión y descarga de la bomba.",PREV,TEC-MEC,DET,12.0,5,1000.0,H,2021-04-01,60.0,1000H
