,Asset tag,Cod sap,WBS_1_EN,WBS_2_EN,WBS_3_EN,Responsable,Hour day,key_system,System,key_component,Component,key_dutie,Primary task,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo,Date task done,Man hour,Strategy
0,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-01,Motor eléctrico,2221-PU-201|01-01-12,Monitoreo de vibración de motor,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,2,660.0,H,2021-04-01,1.0,660H
1,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-01,Motor eléctrico,2221-PU-201|01-01-13,Monitoreo de termografía de motor,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,2,660.0,H,2021-04-01,1.0,660H
2,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-05,Monitoreo de vibraciones reductor,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a la norma ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
3,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-06,Monitoreo x termografía de reductor,"Tomar parámetros de temperatura de los componentes internos del reductor con la cámara termográfica, cada punto deberá ser comparado de acuerdo a la norma ISO 18436-7 y/o el estándar de termografía del área.",PRED,TEC-PRD,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
4,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|01,,2221-PU-201|01-06,Reductor de velocidad,2221-PU-201|01-06-07,Muestreo de aceite de reductor,Retirar válvula de muestreo. Insertar manguera de extracción sujeto a la jeringa y/o bomba de vacío. Colocar envase esterilizado y llenar con aceite que será analizado hasta las 3/4 partes. Tapar el envase para evitar contaminación externa. Retirar manguera y colocar válvula de muestreo. Limpiar rastros de aceite.,PRED,TEC-PRD,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
5,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|02,,2221-PU-201|02-02,Portarodamientos,2221-PU-201|02-02-06,Monitoreo vibración portarodamiento,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a la norma ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
6,2221-PU-201,10016614,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2221-PU-201|02,,2221-PU-201|02-02,Portarodamientos,2221-PU-201|02-02-07,Monit termografía portarodamientos,"Tomar parámetros de temperatura de los componentes internos del reductor con la cámara termográfica, cada punto deberá ser comparado de acuerdo a la norma ISO 18436-7 y/o el estándar de termografía del área.",PRED,TEC-PRD,MAR,0.25,1,660.0,H,2021-04-01,0.25,660H
7,2222-CY-201,10016613,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2222-CY-201|01,,2222-CY-201|01-01,Distribuidor radial,2222-CY-201|01-01-02,Inspección por ultrasonido,"Determinar el desgaste del revestimiento y/o paredes de la tubería de ingreso de pulpa. Realizar la medición de espesores por ultrasonido, de ser necesario realizar el cambio de revestimiento de la tubería",PRED,TEC-PRD,DET,3.0,2,660.0,H,2021-04-01,6.0,660H
8,2222-CY-201,10016613,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2222-CY-201|01,,2222-CY-201|01-03,Batería de ciclones,2222-CY-201|01-03-02,Inspección ultrasonido del ciclón,"Determinar el desgaste del revestimiento y/o paredes de la carcasa (cuerpo de entrada, cuerpo superior, cuerpo intermedio). Realizar la medición de espesores por ultrasonido, de ser necesario realizar el cambio de revestimiento.",PRED,TEC-PRD,DET,3.0,2,660.0,H,2021-04-01,6.0,660H
9,2222-CY-201,10016613,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2222-CY-201|01,,2222-CY-201|01-03,Batería de ciclones,2222-CY-201|01-03-05,Inspección ultrasonido de tuberías,"Determinar el desgaste del revestimiento y/o paredes de la tubería de alimentación y descarga. Realizar la medición de espesores por ultrasonido, de ser necesario realizar el cambio de tuberías.",PRED,TEC-PRD,DET,3.0,2,660.0,H,2021-04-01,6.0,660H
10,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-01,Motor eléctrico A molino,2223-ML-201|01-01-13,Monitoreo de vibración,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,1.0,1,330.0,H,2021-04-01,1.0,330H
11,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-01,Motor eléctrico A molino,2223-ML-201|01-01-14,Monitoreo de termografía motor,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,1,330.0,H,2021-04-01,0.5,330H
12,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-02,Reductor de Velocidad A,2223-ML-201|01-02-02,Monit vibración reductor velocidad,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración.",PRED,TEC-PRD,MAR,1.0,2,330.0,H,2021-04-01,2.0,330H
13,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-02,Reductor de Velocidad A,2223-ML-201|01-02-03,Monit termografía reductor de vel,"Monitorear por medio de imágenes termográficas la condición del reductor en zonas de concentración de temperatura ( rodamientos, sellos, etc.).",PRED,TEC-PRD,MAR,0.5,2,330.0,H,2021-04-01,1.0,330H
14,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-02,Reductor de Velocidad A,2223-ML-201|01-02-04,Muestreo y análisis de aceite,Determinar el estado de condición del aceite de lubricación del reductor mediante la toma rutinaria de muestras de aceite para determinar su cambio.,PRED,TEC-PRD,MAR,1.0,2,330.0,H,2021-04-01,2.0,330H
15,2223-ML-201,10016612,SULFIDE CONCENTRATOR,CONCENTRATOR,PRIMARY GRINDING,Johan&Jorge,24,2223-ML-201|01,,2223-ML-201|01-03,Acople de alta velocidad A,2223-ML-201|01-03-04,Alineamiento laser de acople,"Corregir defectos de pie cojo en el equipo movil, diagnosticar el desalineamiento con equipo laser, lainar los puntos de anclaje del equipo movil asi como los desplazamientos horizontales según los datos del equipo de alineamiento laser, torquear pernos de anclaje, realizar medición de estado fianl de alineamiento dentro de valores de tolerancia con el equipo de alineamiento.",PRED,TEC-PRD,DET,2.0,2,4000.0,H,2021-04-01,4.0,4000H
