,0,GrupoHR,Contador,HRDescripcion,HRPuesto,Centro,Utilizacion,GPlanificacion,EstadoGlobal,EstadoInstalacion,Estrategia,HRContador,EstrategiaMTTO,ClaseEq
0,1,10016632,X1,COND_MEC_CELDA Cambio botella o rodamien,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016632X1,COND,CELDA Cambio botella o rodamien
10,1,10016632,X2,COND_MEC_CELDA Cambio de correas,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016632X2,COND,CELDA Cambio de correas
20,1,10016632,X3,COND_MEC_CELDA Cambio de poleas,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016632X3,COND,CELDA Cambio de poleas
29,1,10016632,X4,COND_MEC_CELDA Cambio de guarda,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016632X4,COND,CELDA Cambio de guarda
36,1,10016632,Y1,COND_ELE_CELDA Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016632Y1,COND,CELDA Cambio de rodamientos
44,1,10016632,Z1,COND_PRED_CELDA Alineamiento de fajas,TEC-PRED,JP11,4.0,P01,4.0,1.0,HOR002,10016632Z1,COND,CELDA Alineamiento de fajas
52,1,10016632,W1,COND_INS_CELDA_ Tce30,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016632W1,COND,CELDA
61,1,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016636W1,COND,CELDA
70,1,10016636,W2,COND_INS_CELDA_ Tce30,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016636W2,COND,CELDA
78,1,10016626,X1,COND_MEC_CELDA Alin ang perpend acople,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016626X1,COND,CELDA Alin ang perpend acople
86,1,10016626,X2,COND_MEC_CELDA Cambio de reductor,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016626X2,COND,CELDA Cambio de reductor
94,1,10016626,X3,COND_MEC_CELDA Cambio de rodamientos,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016626X3,COND,CELDA Cambio de rodamientos
105,1,10016626,Y1,COND_ELE_CELDA Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016626Y1,COND,CELDA Cambio de rodamientos
113,1,10016626,W1,COND_INS_CELDA_ Tce200,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016626W1,COND,CELDA
123,1,10016613,X1,COND_MEC_CICLO Cambio actuador neumatico,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016613X1,COND,CICLO Cambio actuador neumatico
132,1,10016613,X2,COND_MEC_CICLO Cambio de valvula,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016613X2,COND,CICLO Cambio de valvula
139,1,10016613,X3,COND_MEC_CICLO Cambio revestimiento,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016613X3,COND,CICLO Cambio revestimiento
145,1,10016613,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016613W1,COND,CICLO
160,1,10016618,W1,COND_INS_CICLO_ Cavex 650 CVX,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016618W1,COND,CICLO
176,1,10016914,X1,COND_MEC_TAMBO Cambio de acople,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X1,COND,TAMBO Cambio de acople
185,1,10016914,X2,COND_MEC_TAMBO Cambio de acople,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X2,COND,TAMBO Cambio de acople
194,1,10016914,X3,COND_MEC_TAMBO Cambio de rodamientos,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X3,COND,TAMBO Cambio de rodamientos
204,1,10016914,X4,COND_MEC_TAMBO Cambio de sellos radiales,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X4,COND,TAMBO Cambio de sellos radiales
212,1,10016914,X5,COND_MEC_TAMBO Cambio portarodam rodillo,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X5,COND,TAMBO Cambio portarodam rodillo
224,1,10016914,X6,COND_MEC_TAMBO Cambio rodillo axial,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X6,COND,TAMBO Cambio rodillo axial
232,1,10016914,X7,COND_MEC_TAMBO Cambio de acople,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X7,COND,TAMBO Cambio de acople
241,1,10016914,X8,COND_MEC_TAMBO Cambio de distribuidores,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X8,COND,TAMBO Cambio de distribuidores
247,1,10016914,X9,COND_MEC_TAMBO Cambio bomba engrase,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016914X9,COND,TAMBO Cambio bomba engrase
255,1,10016914,Y1,COND_ELE_TAMBO Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016914Y1,COND,TAMBO Cambio de rodamientos
263,1,10016914,Z1,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,JP11,4.0,P01,4.0,1.0,HOR002,10016914Z1,COND,TAMBO Alineamient laser acople
273,1,10016914,Z2,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,JP11,4.0,P01,4.0,1.0,HOR002,10016914Z2,COND,TAMBO Alineamient laser acople
283,1,10016914,Z3,COND_PRED_TAMBO Alineamient laser acople,TEC-PRED,JP11,4.0,P01,4.0,1.0,HOR002,10016914Z3,COND,TAMBO Alineamient laser acople
293,1,10016914,W1,COND_INS_TAMBO_ 2045MTPH,TEC-INS,JP11,4.0,P01,4.0,1.0,HOR002,10016914W1,COND,TAMBO
309,1,10016873,X1,COND_MEC_CHANC Regular juego dientes,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X1,COND,CHANC Regular juego dientes
314,1,10016873,X2,COND_MEC_CHANC Cambio engranaje intermed,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X2,COND,CHANC Cambio engranaje intermed
323,1,10016873,X3,COND_MEC_CHANC Cambio rod engranaje inte,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X3,COND,CHANC Cambio rod engranaje inte
330,1,10016873,X4,COND_MEC_CHANC Cambio placas revest inf,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X4,COND,CHANC Cambio placas revest inf
337,1,10016873,X5,COND_MEC_CHANC Insp cubierta brazos,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X5,COND,CHANC Insp cubierta brazos
343,1,10016873,X6,COND_MEC_CHANC Camb cubierta brazos,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X6,COND,CHANC Camb cubierta brazos
350,1,10016873,X7,COND_MEC_CHANC Camb comp soporte axial,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X7,COND,CHANC Camb comp soporte axial
355,1,10016873,X8,COND_MEC_CHANC Camb casq excen elem desg,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X8,COND,CHANC Camb casq excen elem desg
361,1,10016873,X9,COND_MEC_CHANC Camb comp junta antipolvo,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873X9,COND,CHANC Camb comp junta antipolvo
368,1,10016873,XA,COND_MEC_CHANC Camb casq desg eje princi,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XA,COND,CHANC Camb casq desg eje princi
375,1,10016873,XB,COND_MEC_CHANC Camb con tritur eje princ,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XB,COND,CHANC Camb con tritur eje princ
382,1,10016873,XC,COND_MEC_CHANC Camb comp rodamient casco,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XC,COND,CHANC Camb comp rodamient casco
388,1,10016873,XD,COND_MEC_CHANC Cambio de filtro,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XD,COND,CHANC Cambio de filtro
394,1,10016873,XE,COND_MEC_CHANC Camb bomb engra rod casco,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XE,COND,CHANC Camb bomb engra rod casco
400,1,10016873,XF,COND_MEC_CHANC Camb cilindro hidraulico,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XF,COND,CHANC Camb cilindro hidraulico
407,1,10016873,XG,COND_MEC_CHANC Cambio de filtro,TEC-MEC,JP11,4.0,P01,4.0,1.0,HOR002,10016873XG,COND,CHANC Cambio de filtro
413,1,10016873,Y1,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y1,COND,CHANC Cambio de rodamientos
422,1,10016873,Y2,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y2,COND,CHANC Cambio de rodamientos
431,1,10016873,Y3,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y3,COND,CHANC Cambio de rodamientos
439,1,10016873,Y4,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y4,COND,CHANC Cambio de rodamientos
447,1,10016873,Y5,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y5,COND,CHANC Cambio de rodamientos
455,1,10016873,Y6,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y6,COND,CHANC Cambio de rodamientos
463,1,10016873,Y7,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y7,COND,CHANC Cambio de rodamientos
471,1,10016873,Y8,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y8,COND,CHANC Cambio de rodamientos
479,1,10016873,Y9,COND_ELE_CHANC Cambio de rodamientos,TEC-ELE,JP11,4.0,P01,4.0,1.0,HOR002,10016873Y9,COND,CHANC Cambio de rodamientos
