,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,HRContador,posHRContador,Frecuencia
0,10,Cambio botella y/o rodam (en taller) ,TEC-MEC,PM01,2.0,8.0,10016632X1,10016632X110,
1,10,Cambio correas sist motriz ,TEC-MEC,PM01,2.0,4.0,10016632X2,10016632X210,
2,10,Cambio de poleas de sist motriz ,TEC-MEC,PM01,2.0,4.0,10016632X3,10016632X310,
3,10,Cambio de guarda de sistema motriz ,TEC-MEC,PM01,1.0,2.0,10016632X4,10016632X410,
4,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016632Y1,10016632Y110,
5,10,Alineamiento de fajas ,TEC-PRED,PM01,2.0,3.0,10016632Z1,10016632Z110,
6,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016632W1,10016632W110,
7,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W1,10016636W110,
8,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W1,10016636W110,
9,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W2,10016636W210,
10,10,Alin ang perp acople alta de baja red ,TEC-MEC,PM01,2.0,3.0,10016626X1,10016626X110,
11,10,Cambio de reductor ,TEC-MEC,PM01,3.0,4.0,10016626X2,10016626X210,
12,10,Cambio de rodamientos (en taller) ,TEC-MEC,PM01,2.0,36.0,10016626X3,10016626X310,
13,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016626Y1,10016626Y110,
14,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016626W1,10016626W110,
15,10,Cambio de actuador neumatico ,TEC-MEC,PM01,3.0,3.0,10016613X1,10016613X110,
16,10,Cambio de valvula ,TEC-MEC,PM01,3.0,6.0,10016613X2,10016613X210,
17,10,Cambio de revestimiento ,TEC-MEC,PM01,2.0,3.0,10016613X3,10016613X310,
18,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016613W1,10016613W110,
19,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W1,10016618W110,
20,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016618W1,10016618W110,
21,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X1,10016914X110,
22,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X2,10016914X210,
23,10,Cambio de rodamientos ,TEC-MEC,PM01,2.0,4.0,10016914X3,10016914X310,
24,10,Cambio de sellos radiales ,TEC-MEC,PM01,2.0,4.0,10016914X4,10016914X410,
25,10,Cambio de portarodamientos del rodillo ,TEC-MEC,PM01,3.0,4.0,10016914X5,10016914X510,
26,10,Cambio de rodillo axial ,TEC-MEC,PM01,3.0,4.0,10016914X6,10016914X610,
27,10,Cambio de acople ,TEC-MEC,PM01,2.0,2.0,10016914X7,10016914X710,
28,10,Cambio de distribuidores ,TEC-MEC,PM01,3.0,3.0,10016914X8,10016914X810,
29,10,Cambio de bomba de engrase ,TEC-MEC,PM01,2.0,2.0,10016914X9,10016914X910,
30,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,10.0,10016914Y1,10016914Y110,
31,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z1,10016914Z110,
32,10,Alineamiento laser de acople ,TEC-PRED,PM01,3.0,2.0,10016914Z2,10016914Z210,
