,GrupoHR,Contador,HRDescripcion,HRPuesto,GPlanificacion,EstadoGlobal,EstadoInstalacion,Estrategia,HRContador,EstrategiaMTTO,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Frecuencia,Material,MCantidad
0,10016632,X1,COND_MEC_CELDA Cambio botella o rodamien,TEC-MEC,P01,4.0,1.0,HOR002,10016632X1,COND,10,Cambio botella y/o rodam (en taller) ,TEC-MEC,PM01,2.0,8.0,10016632X110,,,
1,10016632,X2,COND_MEC_CELDA Cambio de correas,TEC-MEC,P01,4.0,1.0,HOR002,10016632X2,COND,10,Cambio correas sist motriz ,TEC-MEC,PM01,2.0,4.0,10016632X210,,,
2,10016632,X3,COND_MEC_CELDA Cambio de poleas,TEC-MEC,P01,4.0,1.0,HOR002,10016632X3,COND,10,Cambio de poleas de sist motriz ,TEC-MEC,PM01,2.0,4.0,10016632X310,,,
3,10016632,X4,COND_MEC_CELDA Cambio de guarda,TEC-MEC,P01,4.0,1.0,HOR002,10016632X4,COND,10,Cambio de guarda de sistema motriz ,TEC-MEC,PM01,1.0,2.0,10016632X410,,,
4,10016632,Y1,COND_ELE_CELDA Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016632Y1,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016632Y110,,,
5,10016632,Z1,COND_PRED_CELDA Alineamiento de fajas,TEC-PRED,P01,4.0,1.0,HOR002,10016632Z1,COND,10,Alineamiento de fajas ,TEC-PRED,PM01,2.0,3.0,10016632Z110,,,
6,10016632,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016632W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016632W110,,,
7,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W110,,,
8,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos de celda ,TEC-INS,PM01,2.0,2.0,10016636W110,,,
9,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W110,,,
10,10016636,W1,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W1,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W110,,,
11,10016636,W2,COND_INS_CELDA_ Tce30,TEC-INS,P01,4.0,1.0,HOR002,10016636W2,COND,10,Cambio de instrumentos ,TEC-INS,PM01,2.0,2.0,10016636W210,,,
12,10016626,X1,COND_MEC_CELDA Alin ang perpend acople,TEC-MEC,P01,4.0,1.0,HOR002,10016626X1,COND,10,Alin ang perp acople alta de baja red ,TEC-MEC,PM01,2.0,3.0,10016626X110,,,
13,10016626,X2,COND_MEC_CELDA Cambio de reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016626X2,COND,10,Cambio de reductor ,TEC-MEC,PM01,3.0,4.0,10016626X210,,,
14,10016626,X3,COND_MEC_CELDA Cambio de rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10016626X3,COND,10,Cambio de rodamientos (en taller) ,TEC-MEC,PM01,2.0,36.0,10016626X310,,,
15,10016626,Y1,COND_ELE_CELDA Cambio de rodamientos,TEC-ELE,P01,4.0,1.0,HOR002,10016626Y1,COND,10,Cambio de rodamientos ,TEC-ELE,PM01,2.0,5.0,10016626Y110,,,
