,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
0,M1,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M1,10,Insp general agitador (impulsor) 1A,TEC-MEC,PM01,1.0,0.5,MTAN004M110
1,M1,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M1,20,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.8,MTAN004M120
2,M2,PREV_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN004M210
3,M3,LUBR_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M3,10,Lub sist motriz mecanismo agitador 6M,TEC-MEC,PM01,2.0,0.5,MTAN004M310
4,E2,PREV_ELE_TANQU_ TANQ-AGI,TEC-ELE,MTAN004,MTAN004E2,10,Mtto general sistema motriz 1A,TEC-ELE,PM01,2.0,3.0,MTAN004E210
5,I1,INSP_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I1,10,Insp de instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN004I110
6,I2,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I2,10,Mtto de instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN004I210
7,I2,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I2,20,"Contrastacion, ajuste transmisores 6M",TEC-INS,PM01,2.0,1.0,MTAN004I220
8,P1,PRED_CON_TANQU_ TANQ-AGI,TEC-PRD,MTAN004,MTAN004P1,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,1.0,MTAN004P110
9,M1,INSP_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M1,10,Inspeccion anual de tanque 1A,TEC-MEC,PM01,3.0,4.0,MTAN005M110
10,M1,INSP_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M1,20,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,3.5,MTAN005M120
11,M2,PREV_MEC_TANQU_ TANQ-FRP,TEC-MEC,MTAN005,MTAN005M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,6.0,MTAN005M210
12,I1,INSP_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I1,10,Inspeccion d instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN005I110
13,I2,PREV_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I2,10,Mtto de instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN005I210
14,I2,PREV_INS_TANQU_ TANQ-FRP,TEC-INS,MTAN005,MTAN005I2,20,Contrastacion y/o ajuste transmiso 6M,TEC-INS,PM01,2.0,1.0,MTAN005I220
15,M1,INSP_MEC_TANQU_ TANQ-INOX-AC,TEC-MEC,MTAN006,MTAN006M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN006M110
16,M2,PREV_MEC_TANQU_ TANQ-INOX-AC,TEC-MEC,MTAN006,MTAN006M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN006M210
17,I1,INSP_INS_TANQU_ TANQ-INOX-AC,TEC-INS,MTAN006,MTAN006I1,10,Inspeccion instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN006I110
18,I2,PREV_INS_TANQU_ TANQ-INOX-AC,TEC-INS,MTAN006,MTAN006I2,10,Mtto instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN006I210
19,I2,PREV_INS_TANQU_ TANQ-INOX-AC,TEC-INS,MTAN006,MTAN006I2,20,"Contrastacion, ajuste transmisores 6M",TEC-INS,PM01,2.0,1.0,MTAN006I220
20,P1,PRED_CON_TANQU_ TANQ-INOX-AC,TEC-PRD,MTAN006,MTAN006P1,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,3.0,MTAN006P110
21,M1,INSP_MEC_TANQU_ TANQ-PLAST,TEC-MEC,MTAN007,MTAN007M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.8,MTAN007M110
22,M2,PREV_MEC_TANQU_ TANQ-PLAST,TEC-MEC,MTAN007,MTAN007M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN007M210
23,I1,INSP_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I1,10,Inspeccion d instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN007I110
24,I2,PREV_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN007I210
25,I2,PREV_INS_TANQU_ TANQ-PLAST,TEC-INS,MTAN007,MTAN007I2,20,Contrast ajuste instrum transmis 6M,TEC-INS,PM01,2.0,1.0,MTAN007I220
26,M1,INSP_MEC_TANQU_ TANQ-CARB-BC,TEC-MEC,MTAN008,MTAN008M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN008M110
27,M2,PREV_MEC_TANQU_ TANQ-CARB-BC,TEC-MEC,MTAN008,MTAN008M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN008M210
28,I1,INSP_INS_TANQU_ TANQ-CARB-BC,TEC-INS,MTAN008,MTAN008I1,10,Inspeccion instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN008I110
29,I2,PREV_INS_TANQU_ TANQ-CARB-BC,TEC-INS,MTAN008,MTAN008I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN008I210
30,I2,PREV_INS_TANQU_ TANQ-CARB-BC,TEC-INS,MTAN008,MTAN008I2,20,Contrastacion y/o ajust transmisor 6M,TEC-INS,PM01,2.0,1.0,MTAN008I220
31,P1,PRED_CON_TANQU_ TANQ-CARB-BC,TEC-PRD,MTAN008,MTAN008P1,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,3.0,MTAN008P110
32,M1,INSP_MEC_TANQU_ TANQ-CARB-AC,TEC-MEC,MTAN009,MTAN009M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN009M110
33,M2,PREV_MEC_TANQU_ TANQ-CARB-AC,TEC-MEC,MTAN009,MTAN009M2,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN009M210
34,I1,INSP_INS_TANQU_ TANQ-CARB-AC,TEC-INS,MTAN009,MTAN009I1,10,Inspeccion instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN009I110
35,I2,PREV_INS_TANQU_ TANQ-CARB-AC,TEC-INS,MTAN009,MTAN009I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN009I210
36,I2,PREV_INS_TANQU_ TANQ-CARB-AC,TEC-INS,MTAN009,MTAN009I2,20,Contrastacion y/o ajust transmisor 6M,TEC-INS,PM01,2.0,1.0,MTAN009I220
37,P1,PRED_CON_TANQU_ TANQ-CARB-AC,TEC-PRD,MTAN009,MTAN009P1,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,3.0,MTAN009P110
38,M1,INSP_MEC_TANQU_ TANQ-INOX-BC,TEC-MEC,MTAN010,MTAN010M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN010M110
