,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_BOMBA_ACQUATRON F1MA 03/07,TEC-MEC,MBOM108,MBOM108M1,10,Inspeccion general bomba 1M,TEC-MEC,PM01,2.0,0.8,MBOM108M110,,
1,M2,PREV_MEC_BOMBA_ACQUATRON F1MA 03/07,TEC-MEC,MBOM108,MBOM108M2,10,Cambio de diafragma de bomba,TEC-MEC,PM01,2.0,2.0,MBOM108M210,,
2,M2,PREV_MEC_BOMBA_ACQUATRON F1MA 03/07,TEC-MEC,MBOM108,MBOM108M2,20,Reemplazo de inyectores de bomba,TEC-MEC,PM01,2.0,2.0,MBOM108M220,,
3,M2,PREV_MEC_BOMBA_ACQUATRON F1MA 03/07,TEC-MEC,MBOM108,MBOM108M2,30,Reempl d tuberias y sellos d bomba,TEC-MEC,PM01,2.0,1.0,MBOM108M230,,
4,E1,INSP_ELE_BOMBA_ACQUATRON F1MA 03/07,TEC-ELE,MBOM108,MBOM108E1,10,Inspeccion general de motor 1M,TEC-ELE,PM01,2.0,0.5,MBOM108E110,,
5,E2,PREV_ELE_BOMBA_ACQUATRON F1MA 03/07,TEC-ELE,MBOM108,MBOM108E2,10,Mtto general motor 3M,TEC-ELE,PM01,2.0,2.0,MBOM108E210,,
6,I1,INSP_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I1,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM108I110,,
7,I2,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I2,10,Mtto de instrumentos de bomba 6M,TEC-INS,PM01,2.0,2.0,MBOM108I210,,
8,I2,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I2,20,Contrasta o ajuste d transmisores 6M,TEC-INS,PM01,2.0,1.0,MBOM108I220,,
9,I3,INSP_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I3,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM108I310,,
