,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_TANQU_ TANQ-INOX-BC,TEC-MEC,MTAN010,MTAN010M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.5,MTAN010M110,,
1,M2,PREV_MEC_TANQU_ TANQ-INOX-BC,TEC-MEC,MTAN010,MTAN010M2,10,Mtto general tanque 1A,TEC-MEC,PM01,2.0,5.0,MTAN010M210,,
2,I1,INSP_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I1,10,Inspeccion instrumentos tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN010I110,,
3,I2,PREV_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN010I210,,
4,I2,PREV_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I2,20,Contrastacion ajuste transmisores 6M,TEC-INS,PM01,2.0,1.0,MTAN010I220,,
5,M1,INSP_MEC_TANQU_CEMPROTEC INOX-AC TK345,TEC-MEC,MTAN013,MTAN013M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,0.5,MTAN013M110,,
6,M2,PREV_MEC_TANQU_CEMPROTEC INOX-AC TK345,TEC-MEC,MTAN013,MTAN013M2,10,Mtto general tanque 1A,TEC-MEC,PM01,2.0,5.0,MTAN013M210,,
7,I1,INSP_INS_TANQU_CEMPROTEC INOX-AC TK345,TEC-INS,MTAN013,MTAN013I1,10,Inspeccion instrumentos tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN013I110,,
8,I2,PREV_INS_TANQU_CEMPROTEC INOX-AC TK345,TEC-INS,MTAN013,MTAN013I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN013I210,,
9,I2,PREV_INS_TANQU_CEMPROTEC INOX-AC TK345,TEC-INS,MTAN013,MTAN013I2,20,Contrastacion ajuste transmisores 6M,TEC-INS,PM01,2.0,1.0,MTAN013I220,,
10,M7,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M7,10,Ins general agitador impulsor tanq 1A,TEC-MEC,PM01,1.0,0.5,MTAN004M710,,
11,M7,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M7,20,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.5,MTAN004M720,,
12,M7,INSP_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M7,30,Inspeccion general tanque 6M,TEC-MEC,PM01,2.0,1.5,MTAN004M730,,
13,M8,PREV_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M8,10,Limpieza interior del tanque 1A,TEC-MEC,PM01,2.0,2.0,MTAN004M810,,
14,M9,LUBR_MEC_TANQU_ TANQ-AGI,TEC-MEC,MTAN004,MTAN004M9,10,Lubrica mecanismo agitador tanque 6M,TEC-MEC,PM01,2.0,0.5,MTAN004M910,,
15,E8,PREV_ELE_TANQU_ TANQ-AGI,TEC-ELE,MTAN004,MTAN004E8,10,Mtto general sistema motriz 1A,TEC-ELE,PM01,2.0,3.0,MTAN004E810,,
16,I5,INSP_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I5,10,Inspeccion general tanque 1M,TEC-INS,PM01,2.0,1.5,MTAN004I510,,
17,I6,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I6,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN004I610,,
18,I6,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I6,20,Contrastacion y/o ajust transmisor 6M,TEC-INS,PM01,2.0,1.0,MTAN004I620,,
19,I6,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I6,30,Mtto y limp instrumen mezcla mx301 6M,TEC-INS,PM01,2.0,1.0,MTAN004I630,,
20,I6,PREV_INS_TANQU_ TANQ-AGI,TEC-INS,MTAN004,MTAN004I6,40,Contrast y/o ajus transm mez mx301 6M,TEC-INS,PM01,2.0,1.0,MTAN004I640,,
21,P3,PRED_CON_TANQU_ TANQ-AGI,TEC-PRD,MTAN004,MTAN004P3,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,1.0,MTAN004P310,,
22,M1,INSP_MEC_ANALI_OUTOTEC COURIER 6X SL,TEC-MEC,MANA001,MANA001M1,10,Inspeccion general analizador 1S,TEC-MEC,PM01,2.0,1.5,MANA001M110,,
23,M1,INSP_MEC_ANALI_OUTOTEC COURIER 6X SL,TEC-MEC,MANA001,MANA001M1,20,Inspeccion general analizador 1M,TEC-MEC,PM01,2.0,3.0,MANA001M120,,
