,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
0,M1,INSP_MEC_TOLVA_ BN301,TEC-MEC,MTOL001,MTOL001M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL001M110
1,M2,PREV_MEC_TOLVA_ BN301,TEC-MEC,MTOL001,MTOL001M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL001M210
2,M2,PREV_MEC_TOLVA_ BN301,TEC-MEC,MTOL001,MTOL001M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL001M220
3,I1,INSP_INS_TOLVA_ BN301,TEC-INS,MTOL001,MTOL001I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL001I110
4,I2,PREV_INS_TOLVA_ BN301,TEC-INS,MTOL001,MTOL001I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL001I210
5,I2,PREV_INS_TOLVA_ BN301,TEC-INS,MTOL001,MTOL001I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL001I220
6,M1,INSP_MEC_TOLVA_ BN302,TEC-MEC,MTOL002,MTOL002M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL002M110
7,M2,PREV_MEC_TOLVA_ BN302,TEC-MEC,MTOL002,MTOL002M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL002M210
8,M2,PREV_MEC_TOLVA_ BN302,TEC-MEC,MTOL002,MTOL002M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL002M220
9,I1,INSP_INS_TOLVA_ BN302,TEC-INS,MTOL002,MTOL002I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL002I110
10,I2,PREV_INS_TOLVA_ BN302,TEC-INS,MTOL002,MTOL002I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL002I210
11,I2,PREV_INS_TOLVA_ BN302,TEC-INS,MTOL002,MTOL002I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL002I220
12,M1,INSP_MEC_TOLVA_ BN303,TEC-MEC,MTOL003,MTOL003M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL003M110
13,M2,PREV_MEC_TOLVA_ BN303,TEC-MEC,MTOL003,MTOL003M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL003M210
14,M2,PREV_MEC_TOLVA_ BN303,TEC-MEC,MTOL003,MTOL003M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL003M220
15,I1,INSP_INS_TOLVA_ BN303,TEC-INS,MTOL003,MTOL003I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL003I110
16,I2,PREV_INS_TOLVA_ BN303,TEC-INS,MTOL003,MTOL003I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL003I210
17,I2,PREV_INS_TOLVA_ BN303,TEC-INS,MTOL003,MTOL003I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL003I220
18,M1,INSP_MEC_TOLVA_ BN304,TEC-MEC,MTOL004,MTOL004M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL004M110
19,M2,PREV_MEC_TOLVA_ BN304,TEC-MEC,MTOL004,MTOL004M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL004M210
20,M2,PREV_MEC_TOLVA_ BN304,TEC-MEC,MTOL004,MTOL004M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL004M220
21,I1,INSP_INS_TOLVA_ BN304,TEC-INS,MTOL004,MTOL004I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL004I110
22,I2,PREV_INS_TOLVA_ BN304,TEC-INS,MTOL004,MTOL004I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL004I210
23,I2,PREV_INS_TOLVA_ BN304,TEC-INS,MTOL004,MTOL004I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL004I220
24,M1,INSP_MEC_TOLVA_ BN307,TEC-MEC,MTOL005,MTOL005M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL005M110
25,M2,PREV_MEC_TOLVA_ BN307,TEC-MEC,MTOL005,MTOL005M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL005M210
26,M2,PREV_MEC_TOLVA_ BN307,TEC-MEC,MTOL005,MTOL005M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL005M220
27,I1,INSP_INS_TOLVA_ BN307,TEC-INS,MTOL005,MTOL005I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL005I110
28,I2,PREV_INS_TOLVA_ BN307,TEC-INS,MTOL005,MTOL005I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL005I210
29,I2,PREV_INS_TOLVA_ BN307,TEC-INS,MTOL005,MTOL005I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL005I220
30,M1,INSP_MEC_TOLVA_ BN305,TEC-MEC,MTOL006,MTOL006M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL006M110
31,M2,PREV_MEC_TOLVA_ BN305,TEC-MEC,MTOL006,MTOL006M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL006M210
32,M2,PREV_MEC_TOLVA_ BN305,TEC-MEC,MTOL006,MTOL006M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL006M220
33,I1,INSP_INS_TOLVA_ BN305,TEC-INS,MTOL006,MTOL006I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL006I110
34,I2,PREV_INS_TOLVA_ BN305,TEC-INS,MTOL006,MTOL006I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL006I210
35,I2,PREV_INS_TOLVA_ BN305,TEC-INS,MTOL006,MTOL006I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL006I220
36,M1,INSP_MEC_TOLVA_ BN308,TEC-MEC,MTOL007,MTOL007M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL007M110
37,M2,PREV_MEC_TOLVA_ BN308,TEC-MEC,MTOL007,MTOL007M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL007M210
38,M2,PREV_MEC_TOLVA_ BN308,TEC-MEC,MTOL007,MTOL007M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL007M220
39,I1,INSP_INS_TOLVA_ BN308,TEC-INS,MTOL007,MTOL007I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL007I110
40,I2,PREV_INS_TOLVA_ BN308,TEC-INS,MTOL007,MTOL007I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL007I210
41,I2,PREV_INS_TOLVA_ BN308,TEC-INS,MTOL007,MTOL007I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL007I220
42,M1,INSP_MEC_TOLVA_ BN309,TEC-MEC,MTOL008,MTOL008M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL008M110
43,M2,PREV_MEC_TOLVA_ BN309,TEC-MEC,MTOL008,MTOL008M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL008M210
44,M2,PREV_MEC_TOLVA_ BN309,TEC-MEC,MTOL008,MTOL008M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL008M220
45,I1,INSP_INS_TOLVA_ BN309,TEC-INS,MTOL008,MTOL008I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL008I110
46,I2,PREV_INS_TOLVA_ BN309,TEC-INS,MTOL008,MTOL008I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL008I210
47,I2,PREV_INS_TOLVA_ BN309,TEC-INS,MTOL008,MTOL008I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL008I220
48,M1,INSP_MEC_TOLVA_ BN310,TEC-MEC,MTOL009,MTOL009M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL009M110
49,M2,PREV_MEC_TOLVA_ BN310,TEC-MEC,MTOL009,MTOL009M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL009M210
50,M2,PREV_MEC_TOLVA_ BN310,TEC-MEC,MTOL009,MTOL009M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL009M220
51,I1,INSP_INS_TOLVA_ BN310,TEC-INS,MTOL009,MTOL009I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL009I110
52,I2,PREV_INS_TOLVA_ BN310,TEC-INS,MTOL009,MTOL009I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL009I210
53,I2,PREV_INS_TOLVA_ BN310,TEC-INS,MTOL009,MTOL009I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL009I220
54,M1,INSP_MEC_TOLVA_ BN306,TEC-MEC,MTOL010,MTOL010M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL010M110
55,M2,PREV_MEC_TOLVA_ BN306,TEC-MEC,MTOL010,MTOL010M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL010M210
56,M2,PREV_MEC_TOLVA_ BN306,TEC-MEC,MTOL010,MTOL010M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL010M220
57,I1,INSP_INS_TOLVA_ BN306,TEC-INS,MTOL010,MTOL010I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL010I110
58,I2,PREV_INS_TOLVA_ BN306,TEC-INS,MTOL010,MTOL010I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL010I210
59,I2,PREV_INS_TOLVA_ BN306,TEC-INS,MTOL010,MTOL010I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL010I220
60,M1,INSP_MEC_TOLVA_ BN311,TEC-MEC,MTOL011,MTOL011M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL011M110
61,M2,PREV_MEC_TOLVA_ BN311,TEC-MEC,MTOL011,MTOL011M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL011M210
62,M2,PREV_MEC_TOLVA_ BN311,TEC-MEC,MTOL011,MTOL011M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL011M220
63,I1,INSP_INS_TOLVA_ BN311,TEC-INS,MTOL011,MTOL011I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL011I110
64,I2,PREV_INS_TOLVA_ BN311,TEC-INS,MTOL011,MTOL011I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL011I210
65,I2,PREV_INS_TOLVA_ BN311,TEC-INS,MTOL011,MTOL011I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL011I220
66,M1,INSP_MEC_TOLVA_ BN312,TEC-MEC,MTOL012,MTOL012M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL012M110
67,M2,PREV_MEC_TOLVA_ BN312,TEC-MEC,MTOL012,MTOL012M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL012M210
68,M2,PREV_MEC_TOLVA_ BN312,TEC-MEC,MTOL012,MTOL012M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL012M220
69,I1,INSP_INS_TOLVA_ BN312,TEC-INS,MTOL012,MTOL012I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL012I110
70,I2,PREV_INS_TOLVA_ BN312,TEC-INS,MTOL012,MTOL012I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL012I210
71,I2,PREV_INS_TOLVA_ BN312,TEC-INS,MTOL012,MTOL012I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL012I220
72,M1,INSP_MEC_TOLVA_ BN320,TEC-MEC,MTOL013,MTOL013M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL013M110
73,M2,PREV_MEC_TOLVA_ BN320,TEC-MEC,MTOL013,MTOL013M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL013M210
74,M2,PREV_MEC_TOLVA_ BN320,TEC-MEC,MTOL013,MTOL013M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL013M220
75,I1,INSP_INS_TOLVA_ BN320,TEC-INS,MTOL013,MTOL013I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL013I110
76,I2,PREV_INS_TOLVA_ BN320,TEC-INS,MTOL013,MTOL013I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL013I210
77,I2,PREV_INS_TOLVA_ BN320,TEC-INS,MTOL013,MTOL013I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL013I220
78,M1,INSP_MEC_TOLVI_ BN321,TEC-MEC,MTOL014,MTOL014M1,10,Inspeccion general tolvin 660H,TEC-MEC,PM01,2.0,3.0,MTOL014M110
79,M2,PREV_MEC_TOLVI_ BN321,TEC-MEC,MTOL014,MTOL014M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL014M210
80,M2,PREV_MEC_TOLVI_ BN321,TEC-MEC,MTOL014,MTOL014M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL014M220
81,I1,INSP_INS_TOLVI_ BN321,TEC-INS,MTOL014,MTOL014I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL014I110
82,I2,PREV_INS_TOLVI_ BN321,TEC-INS,MTOL014,MTOL014I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL014I210
83,I2,PREV_INS_TOLVI_ BN321,TEC-INS,MTOL014,MTOL014I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL014I220
84,M1,INSP_MEC_TOLVA_ BN201,TEC-MEC,MTOL015,MTOL015M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL015M110
85,M2,PREV_MEC_TOLVA_ BN201,TEC-MEC,MTOL015,MTOL015M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL015M210
86,M2,PREV_MEC_TOLVA_ BN201,TEC-MEC,MTOL015,MTOL015M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL015M220
87,I1,INSP_INS_TOLVA_ BN201,TEC-INS,MTOL015,MTOL015I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL015I110
88,I2,PREV_INS_TOLVA_ BN201,TEC-INS,MTOL015,MTOL015I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL015I210
89,I2,PREV_INS_TOLVA_ BN201,TEC-INS,MTOL015,MTOL015I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL015I220
90,M1,INSP_MEC_TOLVA_ BN203,TEC-MEC,MTOL016,MTOL016M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL016M110
91,M2,PREV_MEC_TOLVA_ BN203,TEC-MEC,MTOL016,MTOL016M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL016M210
92,M2,PREV_MEC_TOLVA_ BN203,TEC-MEC,MTOL016,MTOL016M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL016M220
93,I1,INSP_INS_TOLVA_ BN203,TEC-INS,MTOL016,MTOL016I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL016I110
94,I2,PREV_INS_TOLVA_ BN203,TEC-INS,MTOL016,MTOL016I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL016I210
95,I2,PREV_INS_TOLVA_ BN203,TEC-INS,MTOL016,MTOL016I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL016I220
96,M1,INSP_MEC_TOLVA_ BN204,TEC-MEC,MTOL017,MTOL017M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL017M110
97,M2,PREV_MEC_TOLVA_ BN204,TEC-MEC,MTOL017,MTOL017M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL017M210
98,M2,PREV_MEC_TOLVA_ BN204,TEC-MEC,MTOL017,MTOL017M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL017M220
99,I1,INSP_INS_TOLVA_ BN204,TEC-INS,MTOL017,MTOL017I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL017I110
100,I2,PREV_INS_TOLVA_ BN204,TEC-INS,MTOL017,MTOL017I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL017I210
101,I2,PREV_INS_TOLVA_ BN204,TEC-INS,MTOL017,MTOL017I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL017I220
102,M1,INSP_MEC_TOLVA_ BN205,TEC-MEC,MTOL018,MTOL018M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL018M110
103,M2,PREV_MEC_TOLVA_ BN205,TEC-MEC,MTOL018,MTOL018M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL018M210
104,M2,PREV_MEC_TOLVA_ BN205,TEC-MEC,MTOL018,MTOL018M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL018M220
105,I1,INSP_INS_TOLVA_ BN205,TEC-INS,MTOL018,MTOL018I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL018I110
