,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M1,10,Insp nivel aceit rodamiento bomba 1000H,TEC-MEC,PM01,1.0,2.0,MBOM001M110,,
1,M1,INSP_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M1,20,Inspeccion general bomba 330H,TEC-MEC,PM01,2.0,5.6,MBOM001M120,,
2,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,10,Mantenimiento de acople de motor 4000H,TEC-MEC,PM01,2.0,3.0,MBOM001M210,,
3,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,20,Cambio empaques carcasa de bomba 4000H,TEC-MEC,PM01,2.0,4.0,MBOM001M220,,
4,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,30,Cambio de impulsor de bomba 8000H,TEC-MEC,PM01,2.0,4.0,MBOM001M230,3045848,1
5,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,30,Cambio de impulsor de bomba 8000H,TEC-MEC,PM01,2.0,4.0,MBOM001M230,3045856,1
6,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,30,Cambio de impulsor de bomba 8000H,TEC-MEC,PM01,2.0,4.0,MBOM001M230,3045860,1
7,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,30,Cambio de impulsor de bomba 8000H,TEC-MEC,PM01,2.0,4.0,MBOM001M230,3045852,2
8,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,40,Cambio cartucho de sello mecanico 4000H,TEC-MEC,PM01,2.0,2.0,MBOM001M240,3045854,1
9,M2,PREV_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M2,50,Mtto general carcasa 8000H,TEC-MEC,PM01,2.0,5.0,MBOM001M250,3045851,1
10,M3,LUBR_MEC_BOMBA_GOULDS IC/42/150-125-315,TEC-MEC,MBOM001,MBOM001M3,10,Lubricacion de rodamientos bomba 4000H,TEC-MEC,PM01,2.0,2.0,MBOM001M310,,
11,E1,INSP_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E1,10,Inspeccion general bomba 2S,TEC-ELE,PM01,2.0,2.5,MBOM001E110,,
12,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,10,Limpieza exterior de motor 2000H,TEC-ELE,PM01,2.0,1.0,MBOM001E210,,
13,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,20,Mtto. Prev. variador de velocidad 4000H,TEC-ELE,PM01,2.0,2.0,MBOM001E220,,
14,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,30,Mtto botonera campo bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM001E230,,
15,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,40,Mtto panel control bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM001E240,,
16,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,50,Mtto caja conexiones bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM001E250,,
17,E2,PREV_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E2,60,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MBOM001E260,,
18,E3,LUBR_ELE_BOMBA_GOULDS IC/42/150-125-315,TEC-ELE,MBOM001,MBOM001E3,10,Lubricacion de motor 12000H,TEC-ELE,PM01,2.0,0.5,MBOM001E310,,
19,I1,INSP_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I1,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,1.0,MBOM001I110,,
20,I2,PREV_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I2,10,Mtto de instrumentos de bomba 4000H,TEC-INS,PM01,2.0,3.0,MBOM001I210,,
21,I2,PREV_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I2,20,Contrastacion/ajuste instrumentos 4000H,TEC-INS,PM01,2.0,1.0,MBOM001I220,,
22,P1,PRED_CON_BOMBA_GOULDS IC/42/150-125-315,TEC-PRED,MBOM001,MBOM001P1,10,Monitoreo de vibracion de motor 750H,TEC-PRED,PM01,2.0,0.5,MBOM001P110,,
23,P1,PRED_CON_BOMBA_GOULDS IC/42/150-125-315,TEC-PRED,MBOM001,MBOM001P1,20,Monitoreo de termografia de motor 750H,TEC-PRED,PM01,2.0,0.5,MBOM001P120,,
24,P1,PRED_CON_BOMBA_GOULDS IC/42/150-125-315,TEC-PRED,MBOM001,MBOM001P1,30,Monit temperat rodamientos bomba 750H,TEC-PRED,PM01,2.0,2.0,MBOM001P130,,
25,P1,PRED_CON_BOMBA_GOULDS IC/42/150-125-315,TEC-PRED,MBOM001,MBOM001P1,40,Monit vibracion rodamientos bomba 750H,TEC-PRED,PM01,2.0,2.0,MBOM001P140,,
26,I3,INSP_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I3,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,1.0,MBOM001I310,,
27,I4,PREV_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I4,10,Mtto de instrumentos de bomba 4000H,TEC-INS,PM01,2.0,3.0,MBOM001I410,,
28,I4,PREV_INS_BOMBA_GOULDS IC/42/150-125-315,TEC-INS,MBOM001,MBOM001I4,20,Contrastacion/ajuste instrumentos 4000H,TEC-INS,PM01,2.0,1.0,MBOM001I420,,
29,M1,INSP_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M1,10,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,0.9,MBOM002M110,,
30,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,10,Cambio de acople de bomba 8000H,TEC-MEC,PM01,2.0,1.0,MBOM002M210,3041057,1
31,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,10,Cambio de acople de bomba 8000H,TEC-MEC,PM01,2.0,1.0,MBOM002M210,3041058,1
32,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,20,Cambio de impulsor de bomba 8000H,TEC-MEC,PM01,3.0,3.0,MBOM002M220,3041037,1
33,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,30,Cambio de eje de bomba 8000H,TEC-MEC,PM01,3.0,5.0,MBOM002M230,3041039,1
34,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,40,Camb elementos de union de bomba 8000H,TEC-MEC,PM01,2.0,2.0,MBOM002M240,,
35,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,50,Mtto general carcasa 8000H,TEC-MEC,PM01,2.0,6.5,MBOM002M250,3041040,1
36,M2,PREV_MEC_BOMBA_GOULDS 3171 S,TEC-MEC,MBOM002,MBOM002M2,50,Mtto general carcasa 8000H,TEC-MEC,PM01,2.0,6.5,MBOM002M250,3041065,2
