,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M1,10,Verif conexiones y tuberias voluta 660H,TEC-MEC,PM01,1.0,1.0,MBOM004M110,,
1,M1,INSP_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M1,20,Inspeccion general bomba 330H,TEC-MEC,PM01,2.0,1.8,MBOM004M120,,
2,M1,INSP_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M1,30,Inspeccion general bomba 4000H,TEC-MEC,PM01,2.0,2.3,MBOM004M130,,
3,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,10,Insp conectores de aceite bomba 4000H,TEC-MEC,PM01,2.0,3.0,MBOM004M210,,
4,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,20,Cambio sellos tipo oring de voluta 8000H,TEC-MEC,PM01,1.0,2.0,MBOM004M220,,
5,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,30,Cambio anillos desgaste de rotor 4000H,TEC-MEC,PM01,2.0,3.0,MBOM004M230,,
6,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,40,Mtto camb calentad aceit und lubr 8000H,TEC-MEC,PM01,2.0,2.0,MBOM004M240,,
7,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,50,Mtto general unidad de lubricacion 4000H,TEC-MEC,PM01,2.0,3.0,MBOM004M250,,
8,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,60,Mtto general voluta 4000H,TEC-MEC,PM01,2.0,11.5,MBOM004M260,,
9,M2,PREV_MEC_BOMBA_WEIR AHP-DS 275/200,TEC-MEC,MBOM004,MBOM004M2,70,Mtto general rotor 8000H,TEC-MEC,PM01,2.0,10.0,MBOM004M270,,
10,E1,INSP_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E1,10,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,1.5,MBOM004E110,,
11,E1,INSP_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E1,20,Inspeccion general motor 1M,TEC-ELE,PM01,2.0,1.0,MBOM004E120,,
12,E1,INSP_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E1,30,Inspeccion general bomba 6M,TEC-ELE,PM01,2.0,1.5,MBOM004E130,,
13,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,10,Limpieza exterior de motor 2000H,TEC-ELE,PM01,2.0,2.0,MBOM004E210,,
14,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,20,Mtto botonera campo bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM004E220,,
15,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,30,Mtto panel control bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM004E230,,
16,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,40,Mtto caja conexiones bomba 4000H,TEC-ELE,PM01,2.0,1.0,MBOM004E240,,
17,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,50,Mtto gral motor de ventil und lubr 8000H,TEC-ELE,PM01,2.0,2.0,MBOM004E250,,
18,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,60,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MBOM004E260,,
19,E2,PREV_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E2,70,Mtto general motor electrico bomba 8000H,TEC-ELE,PM01,2.0,2.5,MBOM004E270,,
20,E3,LUBR_ELE_BOMBA_WEIR AHP-DS 275/200,TEC-ELE,MBOM004,MBOM004E3,10,Lubricacion de motor 1500H,TEC-ELE,PM01,2.0,0.5,MBOM004E310,,
21,I1,INSP_INS_BOMBA_WEIR AHP-DS 275/200,TEC-INS,MBOM004,MBOM004I1,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,3.0,MBOM004I110,,
22,I2,PREV_INS_BOMBA_WEIR AHP-DS 275/200,TEC-INS,MBOM004,MBOM004I2,10,Mtto de instrumentos de bomba 4000H,TEC-INS,PM01,2.0,9.0,MBOM004I210,,
23,I2,PREV_INS_BOMBA_WEIR AHP-DS 275/200,TEC-INS,MBOM004,MBOM004I2,20,Contrastacion y/o ajuste instrumen 8000H,TEC-INS,PM01,2.0,9.0,MBOM004I220,,
24,P1,PRED_CON_BOMBA_WEIR AHP-DS 275/200,TEC-PRED,MBOM004,MBOM004P1,10,Monitoreo de vibracion de motor 750H,TEC-PRED,PM01,2.0,0.5,MBOM004P110,,
25,P1,PRED_CON_BOMBA_WEIR AHP-DS 275/200,TEC-PRED,MBOM004,MBOM004P1,20,Monitoreo de termografia de motor 750H,TEC-PRED,PM01,2.0,0.5,MBOM004P120,,
26,P1,PRED_CON_BOMBA_WEIR AHP-DS 275/200,TEC-PRED,MBOM004,MBOM004P1,30,Monit condicion vibraciones bomba 750H,TEC-PRED,PM01,2.0,2.0,MBOM004P130,,
