,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M1,10,Inspec reductor combinado de faja 330H,TEC-MEC,PM01,2.0,0.5,MALI004M110,,
1,M1,INSP_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M1,20,Inspeccion general alimentador 660H,TEC-MEC,PM01,2.0,3.3,MALI004M120,,
2,M1,INSP_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M1,30,Inspeccion general alimentador 2000H,TEC-MEC,PM01,2.0,4.0,MALI004M130,,
3,M1,INSP_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M1,40,Inspeccion general alimentador 4000H,TEC-MEC,PM01,2.0,5.0,MALI004M140,,
4,M2,PREV_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M2,10,Camb aceite reductor combinado faj 4000H,TEC-MEC,PM01,2.0,3.0,MALI004M210,2530846,14.53
5,M2,PREV_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M2,20,Camb grasa d apys eje motriz faja 4000H,TEC-MEC,PM01,2.0,2.0,MALI004M220,2530835,4
6,M3,LUBR_MEC_ALIME_METSO AF884-MN7455 -75hp,TEC-MEC,MALI004,MALI004M3,10,Lubricacion apoyos eje motriz faja 660H,TEC-MEC,PM01,2.0,0.3,MALI004M310,,
7,E1,INSP_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E1,10,Inspeccion general alimentador 1M,TEC-ELE,PM01,2.0,2.5,MALI004E110,,
8,E2,PREV_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E2,10,Mtto menor de motor de faja 2000H,TEC-ELE,PM01,2.0,2.0,MALI004E210,,
9,E2,PREV_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E2,20,Mtto preventivo variador velocidad 4000H,TEC-ELE,PM01,2.0,2.0,MALI004E220,,
10,E2,PREV_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E2,30,Mtto panel ctrl y caja conex faja 4000H,TEC-ELE,PM01,2.0,1.5,MALI004E230,,
11,E2,PREV_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E2,40,Mtto general motor 4000H,TEC-ELE,PM01,2.0,4.5,MALI004E240,,
12,E3,LUBR_ELE_ALIME_METSO AF884-MN7455 -75hp,TEC-ELE,MALI004,MALI004E3,10,Lubricacion de motor de faja 12000H,TEC-ELE,PM01,2.0,0.5,MALI004E310,2530835,0.06
13,I1,INSP_INS_ALIME_METSO AF884-MN7455 -75hp,TEC-INS,MALI004,MALI004I1,10,Inspeccion de instrumentos de faja 1M,TEC-INS,PM01,2.0,1.0,MALI004I110,,
14,I2,PREV_INS_ALIME_METSO AF884-MN7455 -75hp,TEC-INS,MALI004,MALI004I2,10,Mtto de instrumentos de faja 4000H,TEC-INS,PM01,2.0,1.5,MALI004I210,,
15,P1,PRED_CON_ALIME_METSO AF884-MN7455 -75hp,TEC-PRD,MALI004,MALI004P1,10,Monitoreo de vibracion de motor 750H,TEC-PRD,PM01,2.0,0.5,MALI004P110,,
16,P1,PRED_CON_ALIME_METSO AF884-MN7455 -75hp,TEC-PRD,MALI004,MALI004P1,20,Monitoreo de termografia de motor 750H,TEC-PRD,PM01,2.0,0.5,MALI004P120,,
17,P1,PRED_CON_ALIME_METSO AF884-MN7455 -75hp,TEC-PRD,MALI004,MALI004P1,30,Monit vibracional reductor faja 750H,TEC-PRD,PM01,2.0,0.5,MALI004P130,,
18,P1,PRED_CON_ALIME_METSO AF884-MN7455 -75hp,TEC-PRD,MALI004,MALI004P1,40,Monit ultrasonido eje motriz faja 4000H,TEC-PRD,PM01,2.0,2.0,MALI004P140,,
19,P1,PRED_CON_ALIME_METSO AF884-MN7455 -75hp,TEC-PRD,MALI004,MALI004P1,50,Desgaste d rodillos d carga de faja 750H,TEC-PRD,PM01,2.0,2.0,MALI004P150,,
20,M1,INSP_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M1,10,Inspec reductor combinado de faja 330H,TEC-MEC,PM01,2.0,0.5,MALI005M110,,
21,M1,INSP_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M1,20,Inspeccion general alimentador 660H,TEC-MEC,PM01,2.0,3.3,MALI005M120,,
22,M1,INSP_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M1,30,Inspeccion general alimentador 2000H,TEC-MEC,PM01,2.0,4.0,MALI005M130,,
23,M1,INSP_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M1,40,Inspeccion general alimentador 4000H,TEC-MEC,PM01,2.0,5.0,MALI005M140,,
24,M2,PREV_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M2,10,Camb aceite reductor combinado faj 4000H,TEC-MEC,PM01,2.0,3.0,MALI005M210,2530846,14.53
25,M2,PREV_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M2,20,Camb grasa apoyos eje motriz faja 4000H,TEC-MEC,PM01,2.0,2.0,MALI005M220,2530835,4
26,M3,LUBR_MEC_ALIME_METSO AF5-72MN-11850-75HP,TEC-MEC,MALI005,MALI005M3,10,Lubricacion apoyos eje motriz faja 660H,TEC-MEC,PM01,2.0,0.3,MALI005M310,,
27,E1,INSP_ELE_ALIME_METSO AF5-72MN-11850-75HP,TEC-ELE,MALI005,MALI005E1,10,Inspeccion general alimentador 1M,TEC-ELE,PM01,2.0,2.5,MALI005E110,,
28,E2,PREV_ELE_ALIME_METSO AF5-72MN-11850-75HP,TEC-ELE,MALI005,MALI005E2,10,Mtto menor de motor de faja 2000H,TEC-ELE,PM01,2.0,2.0,MALI005E210,,
29,E2,PREV_ELE_ALIME_METSO AF5-72MN-11850-75HP,TEC-ELE,MALI005,MALI005E2,20,Mtto preventivo variador velocidad 4000H,TEC-ELE,PM01,2.0,2.0,MALI005E220,,
