,TAG,DescripcionEquipo,GrupoTS,GrupoHR,EqSAP,PuntoMedida,GrupoHREQ,Contador,HRPuesto,EstrategiaMTTO,HRDescripcion,HRContador,Estrategia,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Frecuencia,Material,MCantidad
0,,,,,,,10016587,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016587X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016587X110,,,
1,,,,,,,10016587,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016587X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016587X210,,,
2,,,,,,,10016587,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016587X3,HOR002,10,Cambio de rodamientos de reductor,TEC-MEC,PM01,3.0,14.0,10016587X310,,,
3,,,,,,,10016587,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016587X4,HOR002,10,Cambio de sellos radiales de reductor,TEC-MEC,PM01,2.0,4.0,10016587X410,,,
4,,,,,,,10016587,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016587X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016587X510,,,
5,,,,,,,10016587,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016587X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016587X610,,,
6,,,,,,,10016587,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016587X7,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016587X710,,,
7,,,,,,,10016587,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016587Y1,HOR002,10,Cambio de rodamientos de motor electrico,TEC-ELE,PM01,2.0,5.0,10016587Y110,,,
8,,,,,,,10016587,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016587Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016587Z110,,,
9,,,,,,,10016587,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016587Z2,HOR002,10,Alineamiento laser de acople de baja,TEC-PRED,PM01,2.0,2.0,10016587Z210,,,
10,,,,,,,10016587,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016587W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016587W110,,,
11,,,,,,,10016588,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016588X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,2.0,4.0,10016588X110,,,
12,,,,,,,10016588,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016588X2,HOR002,10,Cambio de acople de baja,TEC-MEC,PM01,2.0,3.0,10016588X210,,,
13,,,,,,,10016588,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016588X3,HOR002,10,Cambio de rodamientos de reductor,TEC-MEC,PM01,3.0,14.0,10016588X310,,,
14,,,,,,,10016588,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016588X4,HOR002,10,Cambio de sellos radiales de reductor,TEC-MEC,PM01,2.0,4.0,10016588X410,,,
15,,,,,,,10016588,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016588X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016588X510,,,
16,,,,,,,10016588,X6,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016588X6,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016588X610,,,
17,,,,,,,10016588,X7,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016588X7,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016588X710,,,
18,,,,,,,10016588,X8,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016588X8,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016588X810,,,
19,,,,,,,10016588,X9,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016588X9,HOR002,10,Cambio chumaceras rodamientos polea (2),TEC-MEC,PM01,4.0,8.0,10016588X910,,,
20,,,,,,,10016588,XA,TEC-MEC,COND,COND_MEC_FAJA Cambio chumacera y rodami,10016588XA,HOR002,10,Cambio chumaceras rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016588XA10,,,
21,,,,,,,10016588,XB,TEC-MEC,COND,COND_MEC_FAJA Cambio chumaceras y rod,10016588XB,HOR002,10,Cambio chumaceras  rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016588XB10,,,
22,,,,,,,10016588,Y1,TEC-ELE,COND,COND_ELE_FAJA Cambio de rodamientos,10016588Y1,HOR002,10,Cambio de rodamientos de motor electrico,TEC-ELE,PM01,2.0,8.0,10016588Y110,,,
23,,,,,,,10016588,Z1,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016588Z1,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016588Z110,,,
24,,,,,,,10016588,Z2,TEC-PRED,COND,COND_PRED_FAJA Alineamiento laser acople,10016588Z2,HOR002,10,Alineamiento laser de acople,TEC-PRED,PM01,2.0,2.0,10016588Z210,,,
25,,,,,,,10016588,W1,TEC-INS,COND,COND_INS_FAJA Cambio de instrumentos,10016588W1,HOR002,10,Cambio de instrumentos,TEC-INS,PM01,2.0,4.0,10016588W110,,,
26,,,,,,,10016592,X1,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople,10016592X1,HOR002,10,Cambio de acople de alta,TEC-MEC,PM01,3.0,6.0,10016592X110,,,
27,,,,,,,10016592,X2,TEC-MEC,COND,COND_MEC_FAJA Cambio de acople baja,10016592X2,HOR002,10,Cambio de acople de abaja,TEC-MEC,PM01,2.0,3.0,10016592X210,,,
28,,,,,,,10016592,X3,TEC-MEC,COND,COND_MEC_FAJA Cambio de rodamientos,10016592X3,HOR002,10,Cambio de rodamientos de reductor,TEC-MEC,PM01,3.0,14.0,10016592X310,,,
29,,,,,,,10016592,X4,TEC-MEC,COND,COND_MEC_FAJA Cambio de sellos radiales,10016592X4,HOR002,10,Cambio de sellos radiales,TEC-MEC,PM01,2.0,4.0,10016592X410,,,
30,,,,,,,10016592,X5,TEC-MEC,COND,COND_MEC_FAJA Cambio de bomba de aceite,10016592X5,HOR002,10,Cambio de la bomba de aceite,TEC-MEC,PM01,2.0,4.0,10016592X510,,,
